region,province,name,tc,cres,csor,istat,area,pop,alt,isle,sea,pden,wden,urb,fee,d_fee,sample,organic,paper,glass,wood,metal,plastic,raee,texile,other,msw_so,msw_un,msw,sor,geo,roads,s_wteregio,s_landfill,gdp,proads,wage,finance
Veneto,Padova,Correzzola,82.83999633789063,26.65999984741211,31.81999969482422,28035,42.33000183105469,5488,2,0,1,129.6479949951172,38430.0234375,3,PAYT,1,1,36.63024829367638,11.99021603289518,12.43712129082467,,2.487485730690097,10.1845220787795,.6599690301418233,.1874912017448362,2.945824878299768,1261098,365645,1626743,77.52,3,16,9.898176193237305,11.29678535461426,6.930927753448486,5.782670497894287,9.454920768737793,7.138855586051941
Liguria,Savona,Borghetto Santo Spirito,411.7900085449219,167.8099975585938,54.47000122070313,9012,5.389999866485596,5154,2,0,1,956.2152099609375,759936.75,2,STANDARD,0,0,17.2680618125862,10.39096360672539,7.692662630103716,4.13641502722495,1.250348200550822,6.970114444152293,.7797495104440634,.2197233975389515,6.064585495472599,2243519,1852540,4096059,54.77,3,22,0,16.86346435546875,8.220182418823242,5.385745525360107,9.455523490905762,8.46678789138794
Veneto,Venezia,Concordia Sagittaria,115.9499969482422,37.02000045776367,50.06000137329102,27011,66.83000183105469,10640,2,0,1,159.2099304199219,68342.5859375,2,STANDARD,0,1,36.59508225256084,12.59552890252193,9.989282590394618,2.463581059852189,2.224820382126557,6.270527561477317,1.805670046099093,.3662748626934525,9.491202199970004,3736170,831165,4567335,81.8,3,10,9.898176193237305,11.29678535461426,6.76164722442627,6.949364185333252,9.583124160766602,6.964496641159058
Emilia_Romagna,Ferrara,Ostellato,211.8899993896484,44.66999816894531,40.86999893188477,38017,173.3399963378906,6453,2,0,0,37.2274169921875,20531.955078125,3,PAYT,1,1,42.02771052278879,8.113354026359584,7.633585641396243,3.293220107057892,1.251781043543301,5.020049120415262,1.09145551472334,.5697372498917536,8.240805235389963,2749039,809970,3559009,77.23999999999999,3,107,33.10504913330078,15.23353004455566,7.448690414428711,4.036661148071289,9.575576782226563,7.672151126861572
Friuli_Venezia_Giulia,Udine,Marano Lagunare,116.879997253418,63.72999954223633,38.25,30056,85.80000305175781,1963,2,0,1,22.87878799438477,11656.41015625,3,STANDARD,0,1,12.60988681358237,10.00029996400432,11.17565892092949,3.216614006319242,1.223853137623485,7.050653921529417,1.320341559012918,,3.380194376674799,500005,480845,1000120,50,3,13,17.46755027770996,4.897195816040039,7.510346412658691,4.941672801971436,9.526180267333984,7.735656805038452
Friuli_Venezia_Giulia,Udine,Cervignano del Friuli,122.1900024414063,52.25,54.7400016784668,30023,29.17000007629395,13409,2,0,1,459.6846008300781,222504.109375,2,STANDARD,0,1,18.78986725871647,11.56846718522382,7.206824801689253,3.640659461716415,.8683534025787137,5.756539035459047,1.338860432528124,,4.487658396304106,3482594,2874246,6490445,53.66,3,79,17.46755027770996,4.897195816040039,7.499638557434082,5.173815727233887,9.64500904083252,7.724627714157105
Veneto,Venezia,Jesolo,452.6000061035156,198.2100067138672,96.51999664306641,27019,96.40000152587891,24479,2,0,1,253.9315338134766,306013.96875,2,STANDARD,0,1,,10.51381862651844,11.01105338255771,2.068956656850086,1.775943984335053,3.060307498219985,.6493445299939511,,3.854273602608402,17786348,11713400,29499748,60.29,3,324,9.898176193237305,11.29678535461426,7.665518283843994,4.392733097076416,9.661367416381836,7.895483832359314
Friuli_Venezia_Giulia,Trieste,Trieste,191.2700042724609,58.97000122070313,32.34999847412109,32006,85.09999847412109,202123,2,0,1,2375.12353515625,1159398.75,1,STANDARD,0,1,,10.5104929487032,5.562251513533242,3.55872502896929,.9972003195059476,4.05335923651822,1.394727989700079,.4308070059006842,.8299857203422942,41642307,53991539,98664830,42.21,3,381,17.46755027770996,4.897195816040039,7.606257438659668,6.284731388092041,9.794133186340332,7.834445161819458
Emilia_Romagna,Ferrara,Fiscaglia,208.3200073242188,46.68999862670898,44.45000076293945,38027,116.1800003051758,9519,2,0,0,81.93320465087891,36124.4609375,3,PAYT,1,1,36.25379443118081,9.079043302977883,8.750661196014239,3.139382502489909,1.964836285484186,5.210772610520999,1.587227837424409,.5966251602357908,8.761597735493002,3162140,1034800,4196940,75.34,3,242,33.10504913330078,15.23353004455566,7.095841407775879,3.604644060134888,9.560656547546387,7.308716650009155
Veneto,Venezia,Eraclea,186.6900024414063,66.97000122070313,55.40000152587891,27013,95.44999694824219,12689,2,0,1,132.938720703125,76984.734375,3,STANDARD,0,1,,9.336036764412693,10.10515102148242,2.764026475624688,1.932556752387968,2.823496878756451,1.09064908883041,.1639858942191638,6.71835919388617,5537373,1810820,7348193,75.36,3,368,9.898176193237305,11.29678535461426,6.856860637664795,3.50230598449707,9.486908912658691,7.062566456794739
Campania,Napoli,Lacco Ameno,362.0899963378906,213.0599975585938,96.04000091552734,63038,2.079999923706055,4675,2,1,1,2247.59619140625,1563163.5,2,STANDARD,0,0,18.26424472070321,5.449993541204043,5.475213601609163,,.290061450830109,1.84592388462745,,,6.687345065787451,1236800,2014580,3251380,38.04,1,,27.87697982788086,3.602712631225586,,,9.249677658081055,
Toscana,Livorno,Porto Azzurro,405.0499877929688,295.2000122070313,27.14999961853027,49013,13.32999992370605,3826,2,1,1,287.0217590332031,236400.671875,3,STANDARD,0,1,4.086669897160498,4.287671350248046,1.612263944674144,2.98233605323143,1.719365287296575,1.838112909250097,1.444995447796267,.158668655736935,4.837680378494558,723991,2427230,3151221,22.98,2,25,12.07579040527344,31.49303817749023,7.721591949462891,5.002952575683594,9.555593490600586,7.953239707946778
